trade_id,ticker,direction,entry_time,entry_reference_price,entry_price,exit_time,exit_reference_price,exit_price,shares,position_value,gross_pnl,commission,slippage,net_pnl,return_pct,exit_reason,duration_bars,entry_z_score,exit_z_score,max_holding_bars,stop_loss_pct
1,NVDA,1,2024-08-23 12:48:00-04:00,126.900000000000,126.925380000000,2024-08-23 13:23:00-04:00,127.810000000000,127.784438000000,157,19923.299999999999,142.869999999999,1.099000000000,7.997893999999,133.773106000001,0.006714405043,TAKE_PROFIT,35,-2.797702328387,0.729382368851,61,0.007080038008
2,NVDA,1,2024-08-26 13:03:00-04:00,126.672200000000,126.697534440000,2024-08-26 13:46:00-04:00,125.775356009459,125.750200938257,157,19887.535400000001,-140.804506514924,1.099000000000,7.926853258697,-149.830359773620,-0.007533882744,STOP_LOSS,43,-2.308189512281,-0.516754531964,61,0.007080038008
3,NVDA,1,2024-08-26 15:46:00-04:00,126.265000000000,126.290253000000,2024-08-26 15:49:00-04:00,126.390000000000,126.364722000000,158,19949.869999999999,19.750000000000,1.106000000000,7.983897999999,10.660102000001,0.000534344434,TAKE_PROFIT,3,-1.616411392448,1.633304404969,61,0.007080038008
4,NVDA,1,2024-08-30 15:52:00-04:00,119.230000000000,119.253846000000,2024-08-30 15:56:00-04:00,119.180000000000,119.156164000000,167,19911.410000000000,-8.350000000000,1.169000000000,7.962893999999,-17.481893999999,-0.000877983729,FORCED_EOD,4,-2.758971065670,-2.338438457610,61,0.007080038008
5,NVDA,1,2024-09-03 10:46:00-04:00,110.505000000000,110.527101000000,2024-09-03 10:48:00-04:00,109.722620399940,109.700675875860,180,19890.899999999998,-140.828328010805,1.260000000000,7.928194334396,-150.016522345200,-0.007541967550,STOP_LOSS,2,-2.407575765761,-2.837637471940,61,0.007080038008
6,NVDA,1,2024-09-03 12:10:00-04:00,110.260000000000,110.282052000000,2024-09-03 12:42:00-04:00,110.360000000000,110.337928000000,181,19957.060000000001,18.099999999999,1.267000000000,7.986443999999,8.846556000000,0.000443279521,TAKE_PROFIT,32,-2.198987418260,0.816565945184,61,0.007080038008
7,NVDA,1,2024-09-05 12:55:00-04:00,106.790000000000,106.811358000000,2024-09-05 13:56:00-04:00,107.480000000000,107.458504000000,187,19969.730000000000,129.030000000000,1.309000000000,8.013697999998,119.707302000001,0.005994437681,TIME_STOP,61,-2.955848420545,-0.590099757108,61,0.007080038008
8,NVDA,-1,2024-09-06 14:06:00-04:00,102.260000000000,102.239548000000,2024-09-06 14:21:00-04:00,102.060000000000,102.080412000000,195,19940.700000000001,39.000000000001,1.365000000000,7.968479999997,29.666520000003,0.001487737141,TAKE_PROFIT,15,2.617041697345,0.498409781619,61,0.007080038008
9,NVDA,-1,2024-09-11 12:01:00-04:00,111.185000000000,111.162763000000,2024-09-11 12:05:00-04:00,111.972194025905,111.994588464711,179,19902.115000000002,-140.907730637065,1.253000000000,7.989027546128,-150.149758183193,-0.007544412148,STOP_LOSS,4,2.742745706722,1.786074356654,61,0.007080038008
10,NVDA,-1,2024-09-20 14:28:00-04:00,115.780900000000,115.757743820000,2024-09-20 14:53:00-04:00,115.895000000000,115.918179000000,172,19914.314800000000,-19.625199999999,1.204000000000,7.969650960000,-28.798850959999,-0.001446138180,TAKE_PROFIT,25,2.760679893887,-0.355611177045,61,0.007080038008
11,NVDA,1,2024-09-23 10:44:00-04:00,115.370000000000,115.393074000000,2024-09-23 11:33:00-04:00,115.665000000000,115.641867000000,173,19959.010000000002,51.035000000000,1.211000000000,7.993810999999,41.830189000001,0.002095804802,TAKE_PROFIT,49,-2.631169113944,0.735912048654,61,0.007080038008
12,NVDA,-1,2024-09-23 11:49:00-04:00,116.090800000000,116.067581840000,2024-09-23 12:28:00-04:00,115.585000000000,115.608117000000,172,19967.617600000001,86.997600000001,1.204000000000,7.969647520000,77.823952480002,0.003897508157,TAKE_PROFIT,39,2.691380121834,-0.137086294207,61,0.007080038008
13,NVDA,1,2024-09-24 10:46:00-04:00,115.740000000000,115.763148000000,2024-09-24 11:22:00-04:00,116.960500000000,116.937107900000,172,19907.279999999999,209.926000000000,1.204000000000,8.004897199998,200.717102800002,0.010082598065,TAKE_PROFIT,36,-2.216369436429,0.587370740909,61,0.007080038008
14,NVDA,-1,2024-09-24 11:43:00-04:00,119.415000000000,119.391117000000,2024-09-24 11:49:00-04:00,120.260462738710,120.284514831258,167,19942.305000000000,-141.192277364600,1.169000000000,8.005160455471,-150.366437820072,-0.007540073117,STOP_LOSS,6,2.812236305006,2.383707209988,61,0.007080038008
