entry_time,exit_time,direction,entry_price,exit_price,shares,entry_z,exit_z,duration_bars,gross_pnl,costs,net_pnl,exit_reason
2024-08-26 13:03:00-04:00,2024-08-26 13:51:00-04:00,LONG,126.69753444,126.034788,157,-2.308189512281411,0.498315180982498,48,-96.11540000000022,9.034791079998566,-105.15019107999879,TAKE_PROFIT
2024-08-26 15:46:00-04:00,2024-08-26 15:49:00-04:00,LONG,126.29025299999999,126.364722,158,-1.6164113924482553,1.63330440496821,3,19.75,9.089897999998788,10.660102000001212,TAKE_PROFIT
2024-08-30 15:52:00-04:00,2024-08-30 15:56:00-04:00,LONG,119.253846,119.156164,167,-2.758971065670075,-2.3384384576101023,4,-8.349999999999525,9.131893999999111,-17.481893999998636,TAKE_PROFIT
2024-09-03 10:46:00-04:00,2024-09-03 11:09:00-04:00,LONG,110.52710099999999,110.73784800000001,180,-2.407575765761006,0.5857443615430606,23,45.90000000000174,9.22553999999702,36.67446000000472,TAKE_PROFIT
2024-09-03 12:10:00-04:00,2024-09-03 12:42:00-04:00,LONG,110.28205200000001,110.337928,181,-2.1989874182601037,0.8165659451844497,32,18.09999999999897,9.253443999999366,8.846555999999605,TAKE_PROFIT
2024-09-11 12:01:00-04:00,2024-09-11 12:44:00-04:00,SHORT,111.162763,112.29245399999999,179,2.742745706722103,-0.09480053668831517,43,-194.2149999999989,9.252689000000046,-203.46768899999893,TAKE_PROFIT
2024-09-23 10:44:00-04:00,2024-09-23 11:33:00-04:00,LONG,115.393074,115.641867,173,-2.631169113943742,0.7359120486536427,49,51.035000000000295,9.204810999999212,41.830189000001084,TAKE_PROFIT
2024-09-24 10:46:00-04:00,2024-09-24 11:22:00-04:00,LONG,115.76314799999999,116.9371079,172,-2.216369436429142,0.5873707409094594,36,209.92600000000022,9.2088971999978,200.7171028000024,TAKE_PROFIT
2024-09-24 11:43:00-04:00,2024-09-24 14:39:00-04:00,SHORT,119.39111700000001,121.259247,167,2.812236305006409,0.2074639738777676,176,-303.93999999999886,9.206710000000076,-313.14670999999896,TAKE_PROFIT
2024-09-26 10:55:00-04:00,2024-09-26 11:43:00-04:00,LONG,123.68463197999999,123.71525199999999,161,-2.9429156106459082,0.1595828101076794,48,12.89610000000026,9.093276780000158,3.8028232200001018,TAKE_PROFIT
2024-09-27 13:02:00-04:00,2024-09-27 13:37:00-04:00,LONG,120.93488214,120.29673584000001,165,-2.85111153327823,0.1430461210717988,35,-97.33350000000002,9.115639499998052,-106.44913949999807,TAKE_PROFIT
2024-09-30 14:14:00-04:00,2024-09-30 14:38:00-04:00,SHORT,120.32593,119.83376195999999,166,3.0629417428042354,-0.07189624078042443,24,89.67319999999978,9.135305359998135,80.53789464000164,TAKE_PROFIT
2024-10-08 13:52:00-04:00,2024-10-08 14:05:00-04:00,SHORT,132.348525,132.366468,151,2.414595136069139,-0.9712122229545678,13,5.284999999999485,9.05139299999986,-3.7663930000003756,TAKE_PROFIT
