trade_id,ticker,direction,entry_time,entry_price,exit_time,exit_price,shares,position_value,gross_pnl,commission,slippage,net_pnl,return_pct,exit_reason,duration_bars,entry_z_score,exit_z_score
1,NVDA,-1,2024-08-23 12:48:00-04:00,126.87462000000001,2024-08-23 13:23:00-04:00,127.835562,157,19923.3,-142.86999999999946,1.099,7.997893999998752,-151.9668939999982,-0.007627596532702826,TAKE_PROFIT,35,-2.7977023283874405,0.7293823688507624
2,NVDA,-1,2024-08-26 13:03:00-04:00,126.64686556000001,2024-08-26 13:51:00-04:00,126.085212,157,19887.5354,96.11540000000022,1.099,7.935791079998566,87.08060892000165,0.004378652616754193,TAKE_PROFIT,48,-2.3081895122811553,0.4983151809825022
3,NVDA,-1,2024-08-26 15:46:00-04:00,126.23974700000001,2024-08-26 15:49:00-04:00,126.415278,158,19949.87,-19.75,1.106,7.9838979999987885,-28.83989799999879,-0.0014456183423751027,TAKE_PROFIT,3,-1.6164113924483323,1.6333044049686218
4,NVDA,-1,2024-08-30 15:52:00-04:00,119.20615400000001,2024-08-30 15:56:00-04:00,119.20383600000001,167,19911.41,8.349999999999525,1.169,7.96289399999911,-0.7818939999995855,-3.926864044282075e-05,FORCED_EOD,4,-2.7589710656700324,-2.338438457610077
5,NVDA,-1,2024-09-03 10:46:00-04:00,110.482899,2024-09-03 11:09:00-04:00,110.782152,181,20001.405,-46.15500000000175,1.2670000000000001,8.009792999997003,-55.431792999998756,-0.0027713949595040326,TAKE_PROFIT,23,-2.4075757657610186,0.5857443615430601
6,NVDA,-1,2024-09-03 12:10:00-04:00,110.237948,2024-09-03 12:42:00-04:00,110.382072,181,19957.06,-18.09999999999897,1.2670000000000001,7.986443999999366,-27.353443999998337,-0.0013706149102121422,TAKE_PROFIT,32,-2.1989874182598688,0.8165659451843592
7,NVDA,-1,2024-09-05 12:55:00-04:00,106.76864200000001,2024-09-05 14:53:00-04:00,107.27145,187,19969.73,-86.01999999999883,1.309,8.00509599999883,-95.33409599999766,-0.004773930143271724,TAKE_PROFIT,118,-2.955848420545172,-0.1626802063239914
8,NVDA,1,2024-09-06 14:06:00-04:00,102.280452,2024-09-06 14:21:00-04:00,102.03958800000001,195,19940.7,-39.000000000000554,1.365,7.968479999997058,-48.333479999997614,-0.0024238607471150767,TAKE_PROFIT,15,2.617041697344891,0.4984097816193701
9,NVDA,1,2024-09-11 12:01:00-04:00,111.207237,2024-09-11 12:44:00-04:00,112.247546,179,19902.115,194.2149999999989,1.2530000000000001,7.999689000000046,184.96231099999886,0.009293600755497537,TAKE_PROFIT,43,2.7427457067221543,-0.09480053668833618
10,NVDA,1,2024-09-20 14:28:00-04:00,115.80405618,2024-09-20 14:53:00-04:00,115.871821,172,19914.3148,19.62519999999887,1.204,7.969650959999967,10.451549039998902,0.0005248259427936181,TAKE_PROFIT,25,2.7606798938873247,-0.35561117704546036
11,NVDA,-1,2024-09-23 10:44:00-04:00,115.34692600000001,2024-09-23 11:33:00-04:00,115.68813300000001,173,19959.010000000002,-51.035000000000295,1.211,7.993810999999212,-60.239810999999506,-0.0030181763023316038,TAKE_PROFIT,49,-2.6311691139437423,0.7359120486536316
12,NVDA,1,2024-09-23 11:49:00-04:00,116.11401816,2024-09-23 12:28:00-04:00,115.561883,172,19967.6176,-86.99760000000134,1.204,7.969647519999683,-96.17124752000102,-0.00481636064184247,TAKE_PROFIT,39,2.6913801218339484,-0.1370862942068608
13,NVDA,-1,2024-09-24 10:46:00-04:00,115.716852,2024-09-24 11:22:00-04:00,116.98389209999999,172,19907.28,-209.92600000000022,1.204,8.0048971999978,-219.13489719999802,-0.011007776913772149,TAKE_PROFIT,36,-2.2163694364291375,0.5873707409094587
14,NVDA,1,2024-09-24 11:43:00-04:00,119.438883,2024-09-24 14:39:00-04:00,121.210753,167,19942.305,303.93999999999886,1.169,8.037710000000075,294.7332899999988,0.01477929908302971,TAKE_PROFIT,176,2.812236305006408,0.20746397387740706
15,NVDA,-1,2024-09-24 15:14:00-04:00,120.8698212,2024-09-24 15:52:00-04:00,121.12422,165,19947.510000000002,-33.98999999999816,1.155,7.985802000000177,-43.13080199999834,-0.002162214832828676,TAKE_PROFIT,38,-2.4581823476981817,0.23684025395118907
16,NVDA,-1,2024-09-26 10:55:00-04:00,123.63516802,2024-09-26 11:43:00-04:00,123.764748,161,19909.243899999998,-12.89610000000026,1.127,7.9662767800001575,-21.98937678000042,-0.001104480757302914,TAKE_PROFIT,48,-2.9429156106459016,0.15958281010767938
